epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1641.59,0.55652,0.26131,0.93897,0.7103,0.3888,0.456,0.20883,0.5445,0.24845,0.95688,0.00715656,0.00715656,0.00715656
116,1653.77,0.55235,0.25579,0.93445,0.69303,0.38971,0.4613,0.20758,0.55907,0.25675,0.96205,0.00711266,0.00711266,0.00711266
117,1666.02,0.54552,0.25741,0.94099,0.72251,0.38986,0.46314,0.21541,0.53429,0.24518,0.95356,0.00706857,0.00706857,0.00706857
118,1678.66,0.54629,0.25351,0.94301,0.73182,0.39109,0.46698,0.21704,0.52523,0.24034,0.95162,0.00702432,0.00702432,0.00702432
119,1690.72,0.54898,0.25253,0.9389,0.73258,0.39063,0.46734,0.21776,0.52731,0.24467,0.94937,0.0069799,0.0069799,0.0069799
120,1703.02,0.54412,0.25411,0.93414,0.71239,0.40344,0.4707,0.22004,0.52872,0.2398,0.95196,0.00693532,0.00693532,0.00693532
121,1715.22,0.54524,0.25385,0.93441,0.73503,0.39857,0.47196,0.21903,0.53131,0.24424,0.95361,0.00689058,0.00689058,0.00689058
122,1735.38,0.55014,0.25693,0.93037,0.7196,0.39902,0.4719,0.2148,0.54618,0.24627,0.95886,0.00684568,0.00684568,0.00684568
123,1754.99,0.53974,0.25116,0.93557,0.71862,0.39673,0.46616,0.21871,0.52927,0.24134,0.95284,0.00680064,0.00680064,0.00680064
124,1775.56,0.54566,0.25067,0.93801,0.7285,0.4014,0.47507,0.2205,0.53405,0.23768,0.95468,0.00675546,0.00675546,0.00675546
125,1795.34,0.54209,0.25263,0.93719,0.7296,0.3949,0.47667,0.22041,0.53924,0.2412,0.95504,0.00671014,0.00671014,0.00671014
126,1816.52,0.55895,0.26155,0.93473,0.73725,0.3975,0.4802,0.22566,0.51639,0.23635,0.94712,0.00666469,0.00666469,0.00666469
127,1836.75,0.54335,0.24903,0.93344,0.71943,0.40299,0.46978,0.22191,0.52441,0.23759,0.95117,0.0066191,0.0066191,0.0066191
128,1857.23,0.54143,0.25244,0.93756,0.73239,0.40189,0.4765,0.22235,0.53697,0.24328,0.95482,0.0065734,0.0065734,0.0065734
129,1869.6,0.55181,0.25519,0.94138,0.72797,0.39994,0.47754,0.22373,0.52895,0.23824,0.95034,0.00652758,0.00652758,0.00652758
130,1881.76,0.53872,0.24846,0.93724,0.72537,0.4004,0.48114,0.22459,0.52546,0.23762,0.94917,0.00648164,0.00648164,0.00648164
131,1894.09,0.53791,0.24903,0.93122,0.72719,0.40437,0.4798,0.22136,0.5349,0.24108,0.95213,0.0064356,0.0064356,0.0064356
132,1908.25,0.53338,0.24517,0.93619,0.70513,0.39887,0.47489,0.21298,0.56415,0.25583,0.96111,0.00638946,0.00638946,0.00638946
133,1928.79,0.54339,0.25277,0.93537,0.71241,0.40421,0.48184,0.22429,0.53851,0.24069,0.95444,0.00634322,0.00634322,0.00634322
134,1944.14,0.54313,0.25424,0.93482,0.72175,0.39887,0.47731,0.22592,0.51924,0.2397,0.95031,0.00629688,0.00629688,0.00629688
135,1956.79,0.543,0.25319,0.93451,0.71508,0.40647,0.4839,0.2232,0.53784,0.23788,0.95537,0.00625046,0.00625046,0.00625046
136,1968.88,0.52325,0.24113,0.93721,0.73723,0.39826,0.48191,0.2271,0.52446,0.23899,0.94951,0.00620396,0.00620396,0.00620396
137,1980.94,0.53472,0.24715,0.93282,0.72223,0.40284,0.48021,0.22607,0.52306,0.2359,0.94967,0.00615737,0.00615737,0.00615737
138,1993.21,0.53728,0.24844,0.93196,0.7263,0.40184,0.48677,0.23068,0.51432,0.2323,0.94729,0.00611072,0.00611072,0.00611072
139,2005.24,0.53763,0.24953,0.93343,0.7199,0.39918,0.47573,0.21956,0.53342,0.23939,0.95325,0.006064,0.006064,0.006064
140,2017.66,0.5403,0.24762,0.92838,0.73358,0.39643,0.48042,0.22532,0.52935,0.23735,0.95129,0.00601722,0.00601722,0.00601722
141,2038.01,0.52837,0.24301,0.93211,0.73378,0.40528,0.4862,0.22656,0.53389,0.23779,0.95308,0.00597038,0.00597038,0.00597038
142,2057.85,0.53794,0.24921,0.93221,0.75595,0.40269,0.49095,0.23726,0.50685,0.23035,0.94445,0.00592349,0.00592349,0.00592349
143,2078.33,0.53563,0.24504,0.92813,0.72972,0.40696,0.48912,0.23151,0.51736,0.23472,0.94894,0.00587655,0.00587655,0.00587655
144,2098.27,0.52838,0.24444,0.93496,0.73667,0.40654,0.48972,0.23429,0.51416,0.23268,0.94668,0.00582957,0.00582957,0.00582957
